"species","size"
"Langella ocarina",0.6572
"Langella perforata",0.1404
"Liebea dieneri",406
"Liebea hausmanni",500
"Lima footei",76.5
"Liroceras gardenense",4569.12
"Liroceras? sp",40500
"Lithodomina abbreviata",84
"Lithophaga carbonarius",45
"Lithophaga cf. lithodomoides",504
"Lovaralucina covidi",165.638556213018
"Loxonema cf. gracile",6
"Loxonema cf. volgense",270
"Loxonema tortile",64
"Macrocypris sp. 1",0.2738
"Margarites cf. laevigata",288
"Margarites prisca",50
"Martinia gibbosa",825
"Martinia gigantea",8760
"Martinia glabra",1036
"Martinia trigona",1140
"Metacoceras inaequiseptum",1920
"Microcheilinella lata",0.1056
"Microcheilinella peraxilis",0.081
"Microconchida sp. indet.",0.868833333333333
"Microdoma anomala",40.5
"Midiella arpaensis",0.1365
"Modiolus cf. macadamii",17.5
"Multidiscella langei",0.248575
"Multidiscella transitional to “Multidiscus” sp.",0.0765
"Multidiscella zaninettiae",0.2345
"Multidiscella? sp.",0.12
"Murchisonia mazzaroti",18
"Murchisonia tramontana",304.5
"Myalina depressa",690
"Myalina? incaroiana",1300
"Mysidioptera multistriata",81
"Nankinella cf. discoides",1.3572
"Nankinella cf. quasihunanensis",1.245
"Naticopsis cadorica",86
"Naticopsis comelicana",71.5555555555556
"Naticopsis depressa",270
"Naticopsis elongata",135
"Naticopsis intermedia",800
"Naticopsis operculifera",817
"Naticopsis ovulum",700
"Naticopsis plavensis",270
"Naticopsis pusiuncula",4.1125
"Naticopsis solitaria",646
"Neodiscopsis cf. rotundus",0.0825
"Neodiscopsis giganteus",0.083325
"Neoendothyra bronnimanni",0.0135
"Neogeinitzina sp.",0.1976
"Neoulrichia pulchra",0.1064
"Nestellorella sp.",0.02
"Nodosaria camerata",0.04015
"Nodosinella sp.",0.3509
"Nodosinelloides cf. aequiampla",0.0042
"Nodosinelloides cf. camerata",0.0588
"Nodosinelloides cf. longa",0.0243
"Nodosinelloides ex gr. netschajewi",0.006525
"Nodosinelloides mirabilis caucasica",0.198
"Nodosinelloides potievskayae",0.0286
"Nodosinelloides sp. 2",0.045
"Nodosinelloides sp. 3",0.03
"Nodosinelloides sp. indet.",0.0374
"Notothyris nucleola baroghilensis",132
"Nucula beyrichi",56.96
"Ombonia tirolensis",227.604630322266
"Omphalotrochus taylorianus",73.96
"Orthothetina ladina",199.499933564815
"Orthovertellopsis sp.",38.85
"Pachyphloia cf. multiseptata",0.0585
"Pachyphloia cf. ovata",0.0625
"Pachyphloia cukurkoyi",0.3696
"Pachyphloia schwageri",0.106
"Pachyphloia sp.",0.0429
"Pachyphloia sp. 3",0.09
"Pachyphloia? sp.",0.039
"Pachyploia cf. elegans",0.1863
"Palaeanodonta? sp.",117
"Palaeofusulina sp.",0.112
"Palaeolima badiotica",290.2676
"Palaeonubecularia cf. marginata",1.65
"Parabythocythere sp. 1",0.132
"Parabythocythere? chongpani",0.1701
"Paraglobivalvulina gracilis",0.507
"Paraglobivalvulina mira",0.546
"Paraglobivalvulina septulifera",0.8544
"Parahollinella visnyoensis",0.1836
"Paralecanites sextensis",129.25
"Paralecanites sp. indet",297
"Paramacrocypris schallreuteri",0.3515
"Paraparchites sp. 1",0.0756
"Paratirolites sp.",166.6
"Peripetoceras comploji",41415.4
"Peripetoceras gigas",41437.5
"Peripetoceras wanneri",432
"Pernopecten salinchieti",702
"Pernopecten tirolense",728.837048
"Petasobairdia nantongensis",0.1998
"Pilammina? sp. 1",0.0112
"Pinna sp.",1680
"Planiinvoluta carinata",0.0979
"Planiinvoluta ex gr. carinata",1.584
"Planiinvoluta? cf. mesotriasica",0.0231
"Pleuronectites? monotideus",140
"Pleurotomariida indet.",97.5
"Polarisella cf. skyphica",0.0546
"Polarisella sp.",0.019875
"Postcladella cf. grandis",0.0161
"Postcladella giacobbei",0.0138
"Postcladella kalhori",0.013975
"Postcladella sp.",0.004
"Postcladella? sp.",0.018
"Praeneodiscus sp.",0.2552
"Praerectoglandulina sp.",0.035775
"Praetriadodiscus cf. tappanae",0.007
"Productus abichi",1428
"Productus sp.",25
"Promathildia biseriaetuberculata",32
"Promytilus merlai",391.483176
"Protonodosaria? sp.",0.0408
"Protoschizodus aff. inflatus",260
"Pseudacanthoscapha striatula",0.3159
"Pseudoendothyra sp.",1.155
"Pseudolangella dorashamensis",0.0152
"Pseudolangella fragilis",0.1925
"Pseudolangella? sp.",0.060125
"Pseudomidiella cf. labensis",0.16165
"Pseudomidiella sp.",0.04005
"Pseudomidiella sp. 2",0.0672
"Pseudomidiella sp. 3",0.1219
"Pseudomidiella? sp.",0.097
"Pseudospira sp. 2",0.009
"Pseudospira specialisaeformis",0.0728
"Pterinopectinella dumontiana",1240
"Rectoglomospira sp.",0.063
"Rectostipulina hexamerata",0.0777
"Rectostipulina pentamerata",0.02475
"Rectostipulina quadrata",0.126
"Reichelina cf. minuta",0.0861
"Reichelina cribroseptata",0.408
"Reticularia cf. lineata",1085
"Robuloides lens",0.018
"Sargentina n. sp. A",0.4032
"Sargentina postacuta",0.3496
"Schizodus carnicus",126
"Schizodus obscurus",308.122269
"Schizodus? pinguis",891
"Septospirigerella?",1980
"Sichotenella sp.",0.6834
"Soleniscus sp.",106.4
"Sphaera? sp.",56
"Spinomarginifera? sp.",187.5
"Spirifer cf. duplicosta",306
"Spirifer cf. supracarbonicus",1080
"Spiriferellina cristata",136.5
"Spiriferellina taramellii",189
"Spirigerellinae gen. et. sp.indet",1158.98
"Stachella bifrons",380
"Stachella janus",379.828125
"Stachella pseudohelix",304.92
"Staffella sp.",1.14
"Streblochondria? filosa",440
"Stutchburia costata",162.075224489796
"Stutchburia sp.",94.09874375
"Stutchburia tschernyschewi",587.171241666667
"Sulcella suprapermiana",0.1375
"Tainionautilus fugax",2485
"Tainoceras balestense",3886.26446280992
"Tainoceras malsineri",5688.66666666667
"Tainoceras? sp.",1092
"Tambanella? stetteneckensis",211.69522
"Tirolonautilus crux",2569.28
"Tirolonautilus sebedinus",2617.21487603306
"Tirolonautilus? darini",2448
"Towapteria peracuta",47.281194
"Trachydomia aff. stabilei",360
"Trachydomia ambigua",361
"Trentingula prinothi",95.078
"Turbonellina montiscrucis",28.5
"Unionites jacobi",336.869240625
"Vacunella elongata",605.603225
"Vernelia? permica",357
"Volsellina carinata",75.3381076530612
"Warthia vaceki",67.624
"Worthenia inhornata",84
"Worthenia radialis",24.05
"Zygopleura bachmutensis ",15.6
"cf. Shleesha pinguis",0.3015
