Model1,Model2,tau,metric
PFIM,PFIM,1,S2
Random,PFIM,0.3076923076923077,S2
ADBM,Random,0.20512820512820512,S2
ATN,Random,0.1282051282051282,S2
Body-size ratio,Random,0.07692307692307693,S2
Niche,Random,0,S2
PFIM,Random,0.3076923076923077,S2
Random,Random,1,S2
ADBM,ADBM,1,S4
ATN,ADBM,0.6153846153846154,S4
Body-size ratio,ADBM,0.358974358974359,S4
Niche,ADBM,-0.20512820512820512,S4
PFIM,ADBM,0.02564102564102564,S4
Random,ADBM,0.1282051282051282,S4
ADBM,ATN,0.6153846153846154,S4
ATN,ATN,1,S4
Body-size ratio,ATN,0.38461538461538464,S4
Niche,ATN,-0.38461538461538464,S4
PFIM,ATN,-0.05128205128205128,S4
Random,ATN,0.3076923076923077,S4
ADBM,Body-size ratio,0.358974358974359,S4
ATN,Body-size ratio,0.38461538461538464,S4
Body-size ratio,Body-size ratio,1,S4
Niche,Body-size ratio,0.07692307692307693,S4
PFIM,Body-size ratio,-0.10256410256410256,S4
Random,Body-size ratio,0.3076923076923077,S4
ADBM,Niche,-0.20512820512820512,S4
ATN,Niche,-0.38461538461538464,S4
Body-size ratio,Niche,0.07692307692307693,S4
Niche,Niche,1,S4
PFIM,Niche,0.20512820512820512,S4
Random,Niche,-0.3076923076923077,S4
ADBM,PFIM,0.02564102564102564,S4
ATN,PFIM,-0.05128205128205128,S4
Body-size ratio,PFIM,-0.10256410256410256,S4
Niche,PFIM,0.20512820512820512,S4
PFIM,PFIM,1,S4
Random,PFIM,-0.6410256410256411,S4
ADBM,Random,0.1282051282051282,S4
ATN,Random,0.3076923076923077,S4
Body-size ratio,Random,0.3076923076923077,S4
Niche,Random,-0.3076923076923077,S4
PFIM,Random,-0.6410256410256411,S4
Random,Random,1,S4
ADBM,ADBM,1,S5
ATN,ADBM,0.2564102564102564,S5
Body-size ratio,ADBM,0.05128205128205128,S5
Niche,ADBM,0,S5
PFIM,ADBM,0.05128205128205128,S5
Random,ADBM,-0.02564102564102564,S5
ADBM,ATN,0.2564102564102564,S5
ATN,ATN,1,S5
Body-size ratio,ATN,0.38461538461538464,S5
Niche,ATN,0.02564102564102564,S5
PFIM,ATN,0.28205128205128205,S5
Random,ATN,0.46153846153846156,S5
ADBM,Body-size ratio,0.05128205128205128,S5
ATN,Body-size ratio,0.38461538461538464,S5
Body-size ratio,Body-size ratio,1,S5
Niche,Body-size ratio,-0.23076923076923078,S5
PFIM,Body-size ratio,-0.07692307692307693,S5
Random,Body-size ratio,-0.05128205128205128,S5
ADBM,Niche,0,S5
ATN,Niche,0.02564102564102564,S5
Body-size ratio,Niche,-0.23076923076923078,S5
Niche,Niche,1,S5
PFIM,Niche,-0.07692307692307693,S5
Random,Niche,0,S5
ADBM,PFIM,0.05128205128205128,S5
ATN,PFIM,0.28205128205128205,S5
Body-size ratio,PFIM,-0.07692307692307693,S5
Niche,PFIM,-0.07692307692307693,S5
PFIM,PFIM,1,S5
Random,PFIM,0.10256410256410256,S5
ADBM,Random,-0.02564102564102564,S5
ATN,Random,0.46153846153846156,S5
Body-size ratio,Random,-0.05128205128205128,S5
Niche,Random,0,S5
PFIM,Random,0.10256410256410256,S5
Random,Random,1,S5
ADBM,ADBM,1,connectance
ATN,ADBM,0.8205128205128205,connectance
Body-size ratio,ADBM,0.3076923076923077,connectance
Niche,ADBM,0.46153846153846156,connectance
PFIM,ADBM,0.1794871794871795,connectance
Random,ADBM,0.02564102564102564,connectance
ADBM,ATN,0.8205128205128205,connectance
ATN,ATN,1,connectance
Body-size ratio,ATN,0.38461538461538464,connectance
Niche,ATN,0.38461538461538464,connectance
PFIM,ATN,0.05128205128205128,connectance
Random,ATN,0.10256410256410256,connectance
ADBM,Body-size ratio,0.3076923076923077,connectance
ATN,Body-size ratio,0.38461538461538464,connectance
Body-size ratio,Body-size ratio,1,connectance
Niche,Body-size ratio,0.28205128205128205,connectance
PFIM,Body-size ratio,0,connectance
Random,Body-size ratio,0.5128205128205128,connectance
ADBM,Niche,0.46153846153846156,connectance
ATN,Niche,0.38461538461538464,connectance
Body-size ratio,Niche,0.28205128205128205,connectance
Niche,Niche,1,connectance
PFIM,Niche,0.05128205128205128,connectance
Random,Niche,0.358974358974359,connectance
ADBM,PFIM,0.1794871794871795,connectance
ATN,PFIM,0.05128205128205128,connectance
Body-size ratio,PFIM,0,connectance
Niche,PFIM,0.05128205128205128,connectance
PFIM,PFIM,1,connectance
Random,PFIM,-0.1282051282051282,connectance
ADBM,Random,0.02564102564102564,connectance
ATN,Random,0.10256410256410256,connectance
Body-size ratio,Random,0.5128205128205128,connectance
Niche,Random,0.358974358974359,connectance
PFIM,Random,-0.1282051282051282,connectance
Random,Random,1,connectance
ADBM,ADBM,1,generality
ATN,ADBM,0.7692307692307693,generality
Body-size ratio,ADBM,-0.2564102564102564,generality
Niche,ADBM,-0.15384615384615385,generality
PFIM,ADBM,0.05128205128205128,generality
Random,ADBM,-0.05128205128205128,generality
ADBM,ATN,0.7692307692307693,generality
ATN,ATN,1,generality
Body-size ratio,ATN,-0.1282051282051282,generality
Niche,ATN,0.02564102564102564,generality
PFIM,ATN,0.28205128205128205,generality
Random,ATN,0.1794871794871795,generality
ADBM,Body-size ratio,-0.2564102564102564,generality
ATN,Body-size ratio,-0.1282051282051282,generality
Body-size ratio,Body-size ratio,1,generality
Niche,Body-size ratio,-0.1282051282051282,generality
PFIM,Body-size ratio,0.02564102564102564,generality
Random,Body-size ratio,0.4358974358974359,generality
ADBM,Niche,-0.15384615384615385,generality
ATN,Niche,0.02564102564102564,generality
Body-size ratio,Niche,-0.1282051282051282,generality
Niche,Niche,1,generality
PFIM,Niche,0.48717948717948717,generality
Random,Niche,0.28205128205128205,generality
ADBM,PFIM,0.05128205128205128,generality
ATN,PFIM,0.28205128205128205,generality
Body-size ratio,PFIM,0.02564102564102564,generality
Niche,PFIM,0.48717948717948717,generality
PFIM,PFIM,1,generality
Random,PFIM,0.48717948717948717,generality
ADBM,Random,-0.05128205128205128,generality
ATN,Random,0.1794871794871795,generality
Body-size ratio,Random,0.4358974358974359,generality
Niche,Random,0.28205128205128205,generality
PFIM,Random,0.48717948717948717,generality
Random,Random,1,generality
ADBM,ADBM,1,trophic_level
ATN,ADBM,0.5641025641025641,trophic_level
Body-size ratio,ADBM,-0.2564102564102564,trophic_level
Niche,ADBM,0.3076923076923077,trophic_level
PFIM,ADBM,0.2564102564102564,trophic_level
Random,ADBM,-0.358974358974359,trophic_level
ADBM,ATN,0.5641025641025641,trophic_level
ATN,ATN,1,trophic_level
Body-size ratio,ATN,-0.1282051282051282,trophic_level
Niche,ATN,-0.02564102564102564,trophic_level
PFIM,ATN,0.3333333333333333,trophic_level
Random,ATN,-0.1282051282051282,trophic_level
ADBM,Body-size ratio,-0.2564102564102564,trophic_level
ATN,Body-size ratio,-0.1282051282051282,trophic_level
Body-size ratio,Body-size ratio,1,trophic_level
Niche,Body-size ratio,-0.07692307692307693,trophic_level
PFIM,Body-size ratio,0.48717948717948717,trophic_level
Random,Body-size ratio,-0.1282051282051282,trophic_level
ADBM,Niche,0.3076923076923077,trophic_level
ATN,Niche,-0.02564102564102564,trophic_level
Body-size ratio,Niche,-0.07692307692307693,trophic_level
Niche,Niche,1,trophic_level
PFIM,Niche,0.07692307692307693,trophic_level
Random,Niche,-0.1794871794871795,trophic_level
ADBM,PFIM,0.2564102564102564,trophic_level
ATN,PFIM,0.3333333333333333,trophic_level
Body-size ratio,PFIM,0.48717948717948717,trophic_level
Niche,PFIM,0.07692307692307693,trophic_level
PFIM,PFIM,1,trophic_level
Random,PFIM,-0.38461538461538464,trophic_level
ADBM,Random,-0.358974358974359,trophic_level
ATN,Random,-0.1282051282051282,trophic_level
Body-size ratio,Random,-0.1282051282051282,trophic_level
Niche,Random,-0.1794871794871795,trophic_level
PFIM,Random,-0.38461538461538464,trophic_level
Random,Random,1,trophic_level
ADBM,ADBM,1,vulnerability
ATN,ADBM,0.9230769230769231,vulnerability
Body-size ratio,ADBM,0,vulnerability
Niche,ADBM,0,vulnerability
PFIM,ADBM,0,vulnerability
Random,ADBM,0.10256410256410256,vulnerability
ADBM,ATN,0.9230769230769231,vulnerability
ATN,ATN,1,vulnerability
Body-size ratio,ATN,-0.02564102564102564,vulnerability
Niche,ATN,-0.07692307692307693,vulnerability
PFIM,ATN,-0.02564102564102564,vulnerability
Random,ATN,0.02564102564102564,vulnerability
ADBM,Body-size ratio,0,vulnerability
ATN,Body-size ratio,-0.02564102564102564,vulnerability
Body-size ratio,Body-size ratio,1,vulnerability
Niche,Body-size ratio,0.1282051282051282,vulnerability
PFIM,Body-size ratio,0.3333333333333333,vulnerability
Random,Body-size ratio,0.1794871794871795,vulnerability
ADBM,Niche,0,vulnerability
ATN,Niche,-0.07692307692307693,vulnerability
Body-size ratio,Niche,0.1282051282051282,vulnerability
Niche,Niche,1,vulnerability
PFIM,Niche,0.1794871794871795,vulnerability
Random,Niche,0.1794871794871795,vulnerability
ADBM,PFIM,0,vulnerability
ATN,PFIM,-0.02564102564102564,vulnerability
Body-size ratio,PFIM,0.3333333333333333,vulnerability
Niche,PFIM,0.1794871794871795,vulnerability
PFIM,PFIM,1,vulnerability
Random,PFIM,0.28205128205128205,vulnerability
ADBM,Random,0.10256410256410256,vulnerability
ATN,Random,0.02564102564102564,vulnerability
Body-size ratio,Random,0.1794871794871795,vulnerability
Niche,Random,0.1794871794871795,vulnerability
PFIM,Random,0.28205128205128205,vulnerability
Random,Random,1,vulnerability
ADBM,ADBM,1,Link
Body-size ratio,ADBM,0.23076923076923078,Link
ATN,ADBM,0.8205128205128205,Link
Niche,ADBM,-0.38461538461538464,Link
PFIM,ADBM,0.3076923076923077,Link
Random,ADBM,0.1282051282051282,Link
ADBM,Body-size ratio,0.23076923076923078,Link
Body-size ratio,Body-size ratio,1,Link
ATN,Body-size ratio,0.3076923076923077,Link
Niche,Body-size ratio,-0.48717948717948717,Link
PFIM,Body-size ratio,0.15384615384615385,Link
Random,Body-size ratio,0.48717948717948717,Link
ADBM,ATN,0.8205128205128205,Link
Body-size ratio,ATN,0.3076923076923077,Link
ATN,ATN,1,Link
Niche,ATN,-0.3076923076923077,Link
PFIM,ATN,0.1794871794871795,Link
Random,ATN,0.20512820512820512,Link
ADBM,Niche,-0.38461538461538464,Link
Body-size ratio,Niche,-0.48717948717948717,Link
ATN,Niche,-0.3076923076923077,Link
Niche,Niche,1,Link
PFIM,Niche,-0.2564102564102564,Link
Random,Niche,-0.38461538461538464,Link
ADBM,PFIM,0.3076923076923077,Link
Body-size ratio,PFIM,0.15384615384615385,Link
ATN,PFIM,0.1794871794871795,Link
Niche,PFIM,-0.2564102564102564,Link
PFIM,PFIM,1,Link
Random,PFIM,0.2564102564102564,Link
ADBM,Random,0.1282051282051282,Link
Body-size ratio,Random,0.48717948717948717,Link
ATN,Random,0.20512820512820512,Link
Niche,Random,-0.38461538461538464,Link
PFIM,Random,0.2564102564102564,Link
Random,Random,1,Link
ADBM,ADBM,1,Node
Body-size ratio,ADBM,0.2564102564102564,Node
ATN,ADBM,0.8974358974358975,Node
Niche,ADBM,0.5128205128205128,Node
PFIM,ADBM,0.5897435897435898,Node
Random,ADBM,0.6666666666666666,Node
ADBM,Body-size ratio,0.2564102564102564,Node
Body-size ratio,Body-size ratio,1,Node
ATN,Body-size ratio,0.2564102564102564,Node
Niche,Body-size ratio,0.6410256410256411,Node
PFIM,Body-size ratio,0.3076923076923077,Node
Random,Body-size ratio,0.38461538461538464,Node
ADBM,ATN,0.8974358974358975,Node
Body-size ratio,ATN,0.2564102564102564,Node
ATN,ATN,1,Node
Niche,ATN,0.5641025641025641,Node
PFIM,ATN,0.5384615384615384,Node
Random,ATN,0.7692307692307693,Node
ADBM,Niche,0.5128205128205128,Node
Body-size ratio,Niche,0.6410256410256411,Node
ATN,Niche,0.5641025641025641,Node
Niche,Niche,1,Node
PFIM,Niche,0.358974358974359,Node
Random,Niche,0.5384615384615384,Node
ADBM,PFIM,0.5897435897435898,Node
Body-size ratio,PFIM,0.3076923076923077,Node
ATN,PFIM,0.5384615384615384,Node
Niche,PFIM,0.358974358974359,Node
PFIM,PFIM,1,Node
Random,PFIM,0.7692307692307693,Node
ADBM,Random,0.6666666666666666,Node
Body-size ratio,Random,0.38461538461538464,Node
ATN,Random,0.7692307692307693,Node
Niche,Random,0.5384615384615384,Node
PFIM,Random,0.7692307692307693,Node
Random,Random,1,Node
