"species","feeding","motility","tiering","size"
"Grammatodon (Cosmetodon) obsoletiformis","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Hoernesia pironai","suspension","non_motile_byssate","semi_infaunal","medium"
"Ladinomya fosteri","suspension","facultative","deep_infaunal","medium"
"Liebea dieneri","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Liebea hausmanni","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Lima footei","suspension","non_motile_byssate","epifaunal_surficial","small"
"Lithodomina abbreviata","suspension","non_motile_byssate","epifaunal_surficial","small"
"Lithophaga cf. lithodomoides","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Lithophaga carbonarius","suspension","non_motile_byssate","epifaunal_surficial","small"
"Lovaralucina covidi","suspension_chemosymbiotic","facultative","shallow_infaunal","medium"
"Modiolus cf. macadamii","suspension","non_motile_byssate","epifaunal_surficial","small"
"Myalina depressa","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Myalina? incaroiana","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Mysidioptera multistriata","suspension","non_motile_byssate","epifaunal_surficial","small"
"Nucula beyrichi","deposit_mining","facultative","shallow_infaunal","small"
"Palaeanodonta? sp.","suspension","facultative","shallow_infaunal","medium"
"Palaeolima badiotica","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Pernopecten salinchieti","suspension","non_motile_unattached","epifaunal_surficial","medium"
"Pernopecten tirolense","suspension","non_motile_unattached","epifaunal_surficial","medium"
"Pinna sp.","suspension","non_motile_byssate","semi_infaunal","medium"
"Pleuronectites? monotideus","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Promytilus merlai","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Protoschizodus aff. inflatus","suspension","facultative","shallow_infaunal","medium"
"Pterinopectinella dumontiana","suspension","non_motile_unattached","epifaunal_surficial","medium"
"Schizodus carnicus","suspension","facultative","shallow_infaunal","medium"
"Schizodus obscurus","suspension","facultative","shallow_infaunal","medium"
"Schizodus? pinguis","suspension","facultative","shallow_infaunal","medium"
"Sphaera? sp.","suspension","facultative","shallow_infaunal","small"
"Streblochondria? filosa","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Stutchburia costata","suspension","non_motile_byssate","semi_infaunal","medium"
"Stutchburia sp.","suspension","non_motile_byssate","semi_infaunal","small"
"Stutchburia tschernyschewi","suspension","non_motile_byssate","semi_infaunal","medium"
"Tambanella? stetteneckensis","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Towapteria peracuta","suspension","non_motile_byssate","epifaunal_surficial","small"
"Unionites jacobi","suspension","facultative","shallow_infaunal","medium"
"Vacunella elongata","suspension","facultative","deep_infaunal","medium"
"Volsellina carinata","suspension","non_motile_byssate","epifaunal_surficial","small"
"Baylea sequens","grazer_carnivore","slow_moving","epifaunal_surficial","small"
"Bellerophon cadoricus","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon canevai","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon carnicus","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon comelicanus","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon fallax","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon guembeli","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon cf. hiulcus","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon italicus","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon jacobi","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon mojsvari","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon peregrinus","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon sextensis","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon cf. triangularis ","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon tommasii","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon ulrici","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Bellerophon vigilii","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Dicosmos cf. fastigata","grazer_herbivore","slow_moving","epifaunal_surficial","medium"
"Loxonema cf. gracile","grazer_omnivore","slow_moving","epifaunal_surficial","small"
"Loxonema cf. volgense","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Loxonema tortile","grazer_omnivore","slow_moving","epifaunal_surficial","small"
"Margarites prisca","grazer_herbivore","slow_moving","epifaunal_surficial","small"
"Margarites cf. laevigata","grazer_herbivore","slow_moving","epifaunal_surficial","medium"
"Murchisonia mazzaroti","deposit_mining","slow_moving","shallow_infaunal","small"
"Murchisonia tramontana","deposit_mining","slow_moving","shallow_infaunal","medium"
"Naticopsis cadorica","grazer_herbivore","slow_moving","epifaunal_surficial","small"
"Naticopsis comelicana","grazer_herbivore","slow_moving","epifaunal_surficial","small"
"Naticopsis depressa","grazer_herbivore","slow_moving","epifaunal_surficial","medium"
"Naticopsis pusiuncula","grazer_herbivore","slow_moving","epifaunal_surficial","small"
"Naticopsis intermedia","grazer_herbivore","slow_moving","epifaunal_surficial","medium"
"Naticopsis operculifera","grazer_herbivore","slow_moving","epifaunal_surficial","medium"
"Naticopsis ovulum","grazer_herbivore","slow_moving","epifaunal_surficial","medium"
"Naticopsis plavensis","grazer_herbivore","slow_moving","epifaunal_surficial","medium"
"Naticopsis solitaria","grazer_herbivore","slow_moving","epifaunal_surficial","medium"
"Naticopsis elongata","grazer_herbivore","slow_moving","epifaunal_surficial","medium"
"Omphalotrochus taylorianus","grazer_herbivore","slow_moving","epifaunal_surficial","small"
"Pleurotomariida indet.","grazer_carnivore","slow_moving","epifaunal_surficial","small"
"Promathildia biseriaetuberculata","grazer_herbivore","slow_moving","epifaunal_surficial","small"
"Soleniscus sp.","carnivore","slow_moving","epifaunal_surficial","medium"
"Stachella bifrons","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Stachella janus","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Stachella pseudohelix","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Trachydomia aff. stabilei","grazer_herbivore","slow_moving","epifaunal_surficial","medium"
"Trachydomia ambigua","grazer_herbivore","slow_moving","epifaunal_surficial","medium"
"Microdoma anomala","grazer_omnivore","slow_moving","epifaunal_surficial","small"
"Turbonellina montiscrucis","grazer_herbivore","slow_moving","epifaunal_surficial","small"
"Vernelia? permica","grazer_herbivore","slow_moving","epifaunal_surficial","medium"
"Warthia vaceki","grazer_omnivore","slow_moving","epifaunal_surficial","small"
"Worthenia inhornata","grazer_carnivore","slow_moving","epifaunal_surficial","small"
"Worthenia radialis","grazer_carnivore","slow_moving","epifaunal_surficial","small"
"Zygopleura bachmutensis ","parasitic","slow_moving","epifaunal_surficial","small"
"Brachycycloceras? dieneri","carnivore","fast_moving","nektonic","medium"
"Foordiceras dolomiticum","carnivore","fast_moving","nektonic","medium"
"Germanonautilus? sp.","carnivore","fast_moving","nektonic","medium"
"Liroceras gardenense","carnivore","fast_moving","nektonic","medium"
"Liroceras? sp","carnivore","fast_moving","nektonic","large"
"Metacoceras inaequiseptum","carnivore","fast_moving","nektonic","medium"
"Paralecanites sextensis","carnivore","fast_moving","nektonic","medium"
"Paralecanites sp. indet","carnivore","fast_moving","nektonic","medium"
"Paratirolites sp.","carnivore","fast_moving","nektonic","medium"
"Peripetoceras comploji","carnivore","fast_moving","nektonic","large"
"Peripetoceras gigas","carnivore","fast_moving","nektonic","large"
"Peripetoceras wanneri","carnivore","fast_moving","nektonic","medium"
"Tainionautilus fugax","carnivore","fast_moving","nektonic","medium"
"Tainoceras balestense","carnivore","fast_moving","nektonic","medium"
"Tainoceras malsineri","carnivore","fast_moving","nektonic","medium"
"Tainoceras? sp.","carnivore","fast_moving","nektonic","medium"
"Tirolonautilus crux","carnivore","fast_moving","nektonic","medium"
"Tirolonautilus sebedinus","carnivore","fast_moving","nektonic","medium"
"Tirolonautilus? darini","carnivore","fast_moving","nektonic","medium"
"Acrodus sp. A","carnivore","fast_moving","nektonic","large"
"Acrodus sp. B","carnivore","fast_moving","nektonic","large"
"Bobasatrania antiqua","carnivore","fast_moving","nektonic","medium"
"Bobasatrania ladina","carnivore","fast_moving","nektonic","medium"
"Hindeodus latidentatus","carnivore","fast_moving","nektonic","small"
"Hindeodus praeparvus","carnivore","fast_moving","nektonic","small"
"Hindeodus typicalis","carnivore","fast_moving","nektonic","small"
"Archaeocidaris ladina","grazer_omnivore","slow_moving","epifaunal_surficial","medium"
"Ceratiocaris cf. solenoides","deposit_surficial","fast_moving","epifaunal_surficial","medium"
"Chaenocaris aff. tenuistriata","deposit_surficial","fast_moving","epifaunal_surficial","medium"
"Arqoviella? dolomitica","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Bairdia (Rectobairdia) kershawi","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Bairdia cf. subcontracta","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Bairdia cheni","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Bairdia deweveri","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Bairdia hassi","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Bairdia ortiseiensis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Bairdia permagna","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Bairdiacypris fornicata","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Bairdiacypris longirobusta","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Bairdiacypris wangi","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Bairdiacypris? caeca","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Basslerella annesophieae","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Callicythere? seisensis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Cavellina alpina","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Cavellina bellerophonella","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Cavellina visnyoensis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"cf. Shleesha pinguis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Cypridina crassa","deposit_surficial","slow_moving","epifaunal_surficial","small"
"Cypridinella bellerophontium","deposit_surficial","slow_moving","epifaunal_surficial","small"
"Cryptobairdia bellerophonella","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Cryptobairdia postilonga","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Fabalicypris cf. visnyoensis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Fabalicypris? sp. A","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Geffenina? sp. 1","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Glyptopleurina pasinii","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Indivisia sp. 1","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Indivisia sp. 2","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Judahella? binodata","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Kempfina qinglaii","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Kempfina sp. 2","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Kempfina tergilata","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Kirkbya cf. buekkensis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Knightina bullaensis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Knoxiella ventrospinosa","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Macrocypris sp. 1","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Microcheilinella lata","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Microcheilinella peraxilis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Neoulrichia pulchra","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Parabythocythere sp. 1","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Parabythocythere? chongpani","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Parahollinella visnyoensis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Paramacrocypris schallreuteri","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Paraparchites sp. 1","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Petasobairdia nantongensis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Pseudacanthoscapha striatula","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Sargentina n. sp. A","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Sargentina postacuta","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Sulcella suprapermiana","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Atyhris royssii","suspension","non_motile_attached","epifaunal_surficial","medium"
"Atyhris planosulcata","suspension","non_motile_attached","epifaunal_surficial","medium"
"Comelicania haueri","suspension","non_motile_attached","epifaunal_surficial","medium"
"Comelicania megalotis","suspension","non_motile_attached","epifaunal_surficial","medium"
"Comelicania merlai","suspension","non_motile_attached","epifaunal_surficial","medium"
"Comelicothyris laterosulcata","suspension","non_motile_attached","epifaunal_surficial","medium"
"Comelicothyris recticardinis","suspension","non_motile_attached","epifaunal_surficial","medium"
"Dielasma cf. plica","suspension","non_motile_attached","epifaunal_surficial","medium"
"Dielasma pentagonum","suspension","non_motile_attached","epifaunal_surficial","medium"
"Dielasma cf. truncatum","suspension","non_motile_attached","epifaunal_surficial","small"
"Hemiptychina sublaevis","suspension","non_motile_attached","epifaunal_surficial","medium"
"Hemiptychina? orientalis","suspension","non_motile_attached","epifaunal_surficial","medium"
"Janiceps bipartita","suspension","non_motile_attached","epifaunal_surficial","medium"
"Janiceps cadorica","suspension","non_motile_attached","epifaunal_surficial","medium"
"Janiceps papilio","suspension","non_motile_attached","epifaunal_surficial","medium"
"Janiceps peracuta","suspension","non_motile_attached","epifaunal_surficial","medium"
"Janiceps? impar","suspension","non_motile_attached","epifaunal_surficial","medium"
"Martinia gibbosa","suspension","non_motile_attached","epifaunal_surficial","medium"
"Martinia gigantea","suspension","non_motile_attached","epifaunal_surficial","medium"
"Martinia glabra","suspension","non_motile_attached","epifaunal_surficial","medium"
"Martinia trigona","suspension","non_motile_attached","epifaunal_surficial","medium"
"Notothyris nucleola baroghilensis","suspension","non_motile_attached","epifaunal_surficial","medium"
"Ombonia tirolensis","suspension","non_motile_attached","epifaunal_surficial","medium"
"Orthothetina ladina","suspension","non_motile_attached","epifaunal_surficial","medium"
"Productus abichi","suspension","non_motile_attached","epifaunal_surficial","medium"
"Productus sp.","suspension","non_motile_attached","epifaunal_surficial","small"
"Reticularia cf. lineata","suspension","non_motile_attached","epifaunal_surficial","medium"
"Septospirigerella?","suspension","non_motile_attached","epifaunal_surficial","medium"
"Spinomarginifera? sp.","suspension","non_motile_attached","epifaunal_surficial","medium"
"Spirifer cf. duplicosta","suspension","non_motile_attached","epifaunal_surficial","medium"
"Spirifer cf. supracarbonicus","suspension","non_motile_attached","epifaunal_surficial","medium"
"""Spirigera?"" faba","suspension","non_motile_attached","epifaunal_surficial","small"
"Spiriferellina cristata","suspension","non_motile_attached","epifaunal_surficial","medium"
"Spiriferellina taramellii","suspension","non_motile_attached","epifaunal_surficial","medium"
"Spirigerellinae gen. et. sp.indet","suspension","non_motile_attached","epifaunal_surficial","medium"
"Trentingula prinothi","suspension","non_motile_attached","shallow_infaunal","small"
"Bryozoa indet.","suspension","non_motile_attached","epifaunal_surficial","tiny"
"Microconchida sp. indet.","suspension","non_motile_attached","epifaunal_surficial","tiny"
"""Nodosaria"" elabugae","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Agathammina elongata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Agathammina pusilla","deposit_surficial","non_motile_unattached","epifaunal_surficial","small"
"Agathammina? sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Aulacophloia cf. martiniae","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Baisalina pulchra","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Calcitornella sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Calvezina ottomana","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Charliella cf. altineri","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Charliella dolomitica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Colaniella? sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Cornuspira? mahajeri","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Cryptomorphina limonitica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Cryptoseptida anatoliensis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Dagmarita chanakchiensis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Earlandia tintinniformis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Earlandia? sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Frondina cf. permica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Frondina permica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Frondinodosaria cf. semivelata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina cf. spandeli","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina postcarbonica","deposit_surficial","non_motile_unattached","epifaunal_surficial","small"
"Geinitzina sp. 1","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina sp. 2","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina sp. indet.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina spandeli dolomitica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina taurica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina uralica simplex","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Globivalvulina bulloides","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Globivalvulina cyprica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Globivalvulina graeca","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Globivalvulina vonderschmitti","deposit_surficial","non_motile_unattached","epifaunal_surficial","small"
"Globogaetania sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Glomomidiella? cf. infrapermica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Hayasakaina cf. paraminor","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Hemigordiella elegans","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Hemigordius baoqingensis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Hemigordius minima","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Hemigordius sp. 2","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Hoyenella annulata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Hoyenella farsani","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Hoyenella paucispira","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Hoyenella? sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Ichthyofrondina latilimbata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Labioglobivalvulina baudi","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Labioglobivalvulina fortis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Langella cukurkoyi","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Langella ocarina","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Langella perforata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Midiella arpaensis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Multidiscella langei","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Multidiscella transitional to “Multidiscus” sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Multidiscella zaninettiae","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Multidiscella? sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nankinella cf. discoides","deposit_surficial","non_motile_unattached","epifaunal_surficial","small"
"Nankinella cf. quasihunanensis","deposit_surficial","non_motile_unattached","epifaunal_surficial","small"
"Neodiscopsis cf. rotundus","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Neodiscopsis giganteus","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Neoendothyra bronnimanni","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Neogeinitzina sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nestellorella sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nodosaria camerata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nodosinella sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nodosinelloides cf. aequiampla","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nodosinelloides cf. camerata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nodosinelloides cf. longa","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nodosinelloides mirabilis caucasica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nodosinelloides ex gr. netschajewi","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nodosinelloides potievskayae","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nodosinelloides sp. 2","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nodosinelloides sp. 3","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nodosinelloides sp. indet.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Orthovertellopsis sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","small"
"Pachyphloia cf. multiseptata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pachyphloia cf. ovata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pachyphloia cukurkoyi","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pachyphloia schwageri","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pachyphloia sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pachyphloia sp. 3","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pachyphloia? sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pachyploia cf. elegans","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Palaeofusulina sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Palaeonubecularia cf. marginata","deposit_surficial","non_motile_unattached","epifaunal_surficial","small"
"Paraglobivalvulina gracilis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Paraglobivalvulina mira","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Paraglobivalvulina septulifera","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pilammina? sp. 1","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Planiinvoluta carinata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Planiinvoluta ex gr. carinata","deposit_surficial","non_motile_unattached","epifaunal_surficial","small"
"Planiinvoluta? cf. mesotriasica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Polarisella cf. skyphica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Polarisella sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Postcladella cf. grandis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Postcladella giacobbei","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Postcladella kalhori","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Postcladella sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Postcladella? sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Praeneodiscus sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Praerectoglandulina sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Praetriadodiscus cf. tappanae","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Protonodosaria? sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pseudoendothyra sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","small"
"Pseudolangella dorashamensis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pseudolangella fragilis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pseudolangella? sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pseudomidiella cf. labensis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pseudomidiella sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pseudomidiella sp. 2","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
